x(m)	y(m)	Flux(W/m2)
0.393443	-1.36957	1.57918e+06
0.52459	-1.36957	1.50398e+06
0.655738	-1.36957	1.6243e+06
0.786885	-1.36957	1.38366e+06
0.918033	-1.36957	1.18814e+06
1.04918	-1.36957	1.00767e+06
1.18033	-1.36957	1.06783e+06
1.31148	-1.36957	797109
1.44262	-1.36957	887348
1.57377	-1.36957	872308
1.70492	-1.36957	631671
1.83607	-1.36957	782069
1.96721	-1.36957	375995
2.09836	-1.36957	406074
2.22951	-1.36957	345915
2.36066	-1.36957	210557
2.4918	-1.36957	225597
2.62295	-1.36957	240637
2.7541	-1.36957	135358
2.88525	-1.36957	135358
3.01639	-1.36957	135358
3.14754	-1.36957	75199
3.27869	-1.36957	15039.8
3.40984	-1.36957	15039.8
3.54098	-1.36957	90238.7
3.67213	-1.36957	30079.6
3.80328	-1.36957	15039.8
3.93443	-1.36957	30079.6
-3.93443	-1.23913	45119.4
-3.80328	-1.23913	30079.6
-3.67213	-1.23913	60159.2
-3.54098	-1.23913	75199
-3.40984	-1.23913	30079.6
-3.27869	-1.23913	75199
-3.14754	-1.23913	60159.2
-3.01639	-1.23913	165438
-2.88525	-1.23913	150398
-2.7541	-1.23913	90238.7
-2.62295	-1.23913	225597
-2.4918	-1.23913	330875
-2.36066	-1.23913	436154
-2.22951	-1.23913	466234
-2.09836	-1.23913	541432
-1.96721	-1.23913	646711
-1.83607	-1.23913	721910
-1.70492	-1.23913	842228
-1.57377	-1.23913	872308
-1.44262	-1.23913	1.1731e+06
-1.31148	-1.23913	812149
-1.18033	-1.23913	1.2483e+06
-1.04918	-1.23913	1.3987e+06
-0.918033	-1.23913	1.56414e+06
-0.786885	-1.23913	1.65438e+06
-0.655738	-1.23913	1.98525e+06
-0.52459	-1.23913	1.75966e+06
-0.393443	-1.23913	2.07549e+06
-0.262295	-1.23913	2.00029e+06
-0.131148	-1.23913	1.97021e+06
4.44089e-16	-1.23913	2.18077e+06
0.131148	-1.23913	1.91005e+06
0.262295	-1.23913	2.09053e+06
0.393443	-1.23913	2.00029e+06
0.52459	-1.23913	1.87997e+06
0.655738	-1.23913	1.97021e+06
0.786885	-1.23913	1.51902e+06
0.918033	-1.23913	1.65438e+06
1.04918	-1.23913	1.35358e+06
1.18033	-1.23913	1.21822e+06
1.31148	-1.23913	1.06783e+06
1.44262	-1.23913	977586
1.57377	-1.23913	1.00767e+06
1.70492	-1.23913	797109
1.83607	-1.23913	842228
1.96721	-1.23913	526393
2.09836	-1.23913	436154
2.22951	-1.23913	496313
2.36066	-1.23913	240637
2.4918	-1.23913	300796
2.62295	-1.23913	300796
2.7541	-1.23913	150398
2.88525	-1.23913	105279
3.01639	-1.23913	135358
3.14754	-1.23913	60159.2
3.27869	-1.23913	120318
3.40984	-1.23913	75199
3.54098	-1.23913	45119.4
3.67213	-1.23913	15039.8
3.80328	-1.23913	45119.4
3.93443	-1.23913	0
-3.93443	-1.1087	15039.8
-3.80328	-1.1087	15039.8
-3.67213	-1.1087	0
-3.54098	-1.1087	75199
-3.40984	-1.1087	75199
-3.27869	-1.1087	45119.4
-3.14754	-1.1087	120318
-3.01639	-1.1087	195517
-2.88525	-1.1087	240637
-2.7541	-1.1087	180477
-2.62295	-1.1087	165438
-2.4918	-1.1087	375995
-2.36066	-1.1087	345915
-2.22951	-1.1087	571512
-2.09836	-1.1087	616631
-1.96721	-1.1087	691830
-1.83607	-1.1087	736950
-1.70492	-1.1087	992626
-1.57377	-1.1087	1.02271e+06
-1.44262	-1.1087	1.2483e+06
-1.31148	-1.1087	1.2483e+06
-1.18033	-1.1087	1.50398e+06
-1.04918	-1.1087	1.75966e+06
-0.918033	-1.1087	1.66942e+06
-0.786885	-1.1087	2.10557e+06
-0.655738	-1.1087	2.46653e+06
-0.52459	-1.1087	2.10557e+06
-0.393443	-1.1087	2.55676e+06
-0.262295	-1.1087	2.60188e+06
-0.131148	-1.1087	2.36125e+06
4.44089e-16	-1.1087	2.54172e+06
0.131148	-1.1087	2.45149e+06
0.262295	-1.1087	2.18077e+06
0.393443	-1.1087	2.67708e+06
0.52459	-1.1087	2.45149e+06
0.655738	-1.1087	1.92509e+06
0.786885	-1.1087	2.01533e+06
0.918033	-1.1087	1.71454e+06
1.04918	-1.1087	1.75966e+06
1.18033	-1.1087	1.75966e+06
1.31148	-1.1087	1.3987e+06
